prompt_index,prompt_dir,pipeline,clip_score,image_path,prompt_path,prompt
0,0000_an_elephant_under_a_rabbit,flux1,0.3129957914352417,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/flux1/prompt.txt,an elephant under a rabbit
0,0000_an_elephant_under_a_rabbit,vanilla_sd,0.23638907074928284,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/vanilla_sd/prompt.txt,an elephant under a rabbit
0,0000_an_elephant_under_a_rabbit,vqa_score,0.23779833316802979,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0000_an_elephant_under_a_rabbit/vqa_score/prompt.txt,an elephant under a rabbit
1,0001_a_dog_under_a_frog,flux1,0.3092838525772095,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/flux1/prompt.txt,a dog under a frog
1,0001_a_dog_under_a_frog,vanilla_sd,0.2086983323097229,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/vanilla_sd/prompt.txt,a dog under a frog
1,0001_a_dog_under_a_frog,vqa_score,0.2732827663421631,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0001_a_dog_under_a_frog/vqa_score/prompt.txt,a dog under a frog
2,0002_a_monkey_under_a_frog,flux1,0.31768539547920227,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/flux1/prompt.txt,a monkey under a frog
2,0002_a_monkey_under_a_frog,vanilla_sd,0.27450501918792725,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/vanilla_sd/prompt.txt,a monkey under a frog
2,0002_a_monkey_under_a_frog,vqa_score,0.32329949736595154,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0002_a_monkey_under_a_frog/vqa_score/prompt.txt,a monkey under a frog
3,0003_a_bird_on_a_turtle,flux1,0.3026202917098999,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/flux1/prompt.txt,a bird on a turtle
3,0003_a_bird_on_a_turtle,vanilla_sd,0.22059839963912964,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/vanilla_sd/prompt.txt,a bird on a turtle
3,0003_a_bird_on_a_turtle,vqa_score,0.2994621992111206,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0003_a_bird_on_a_turtle/vqa_score/prompt.txt,a bird on a turtle
4,0004_a_bird_above_a_lion,flux1,0.2787521481513977,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/flux1/prompt.txt,a bird above a lion
4,0004_a_bird_above_a_lion,vanilla_sd,0.21513551473617554,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/vanilla_sd/prompt.txt,a bird above a lion
4,0004_a_bird_above_a_lion,vqa_score,0.25692880153656006,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0004_a_bird_above_a_lion/vqa_score/prompt.txt,a bird above a lion
5,0005_a_bird_on_a_monkey,flux1,0.23046986758708954,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/flux1/prompt.txt,a bird on a monkey
5,0005_a_bird_on_a_monkey,vanilla_sd,0.26565906405448914,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/vanilla_sd/prompt.txt,a bird on a monkey
5,0005_a_bird_on_a_monkey,vqa_score,0.20247256755828857,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0005_a_bird_on_a_monkey/vqa_score/prompt.txt,a bird on a monkey
6,0006_a_dog_on_an_elephant,flux1,0.3135055899620056,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/flux1/prompt.txt,a dog on an elephant
6,0006_a_dog_on_an_elephant,vanilla_sd,0.20532654225826263,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/vanilla_sd/prompt.txt,a dog on an elephant
6,0006_a_dog_on_an_elephant,vqa_score,0.22543734312057495,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0006_a_dog_on_an_elephant/vqa_score/prompt.txt,a dog on an elephant
7,0007_a_cat_on_an_elephant,flux1,0.3177599310874939,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0007_a_cat_on_an_elephant/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/complex_cases_lr05_k5_generations/0007_a_cat_on_an_elephant/flux1/prompt.txt,a cat on an elephant
