prompt_index,prompt_dir,pipeline,clip_score,image_path,prompt_path,prompt
100,0100_an_elephant_and_a_rabbit,flux1,0.30424362421035767,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/flux1/prompt.txt,an elephant and a rabbit
100,0100_an_elephant_and_a_rabbit,vanilla_sd,0.22470611333847046,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/vanilla_sd/prompt.txt,an elephant and a rabbit
100,0100_an_elephant_and_a_rabbit,vqa_score,0.2401404082775116,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0100_an_elephant_and_a_rabbit/vqa_score/prompt.txt,an elephant and a rabbit
101,0101_a_dog_and_a_frog,flux1,0.2949743866920471,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/flux1/prompt.txt,a dog and a frog
101,0101_a_dog_and_a_frog,vanilla_sd,0.2630311846733093,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/vanilla_sd/prompt.txt,a dog and a frog
101,0101_a_dog_and_a_frog,vqa_score,0.2583051025867462,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0101_a_dog_and_a_frog/vqa_score/prompt.txt,a dog and a frog
102,0102_a_bird_and_a_mouse,flux1,0.30305060744285583,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/flux1/prompt.txt,a bird and a mouse
102,0102_a_bird_and_a_mouse,vanilla_sd,0.2318108230829239,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/vanilla_sd/prompt.txt,a bird and a mouse
102,0102_a_bird_and_a_mouse,vqa_score,0.23367992043495178,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0102_a_bird_and_a_mouse/vqa_score/prompt.txt,a bird and a mouse
103,0103_a_monkey_and_a_frog,flux1,0.2984562814235687,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/flux1/prompt.txt,a monkey and a frog
103,0103_a_monkey_and_a_frog,vanilla_sd,0.21901826560497284,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/vanilla_sd/prompt.txt,a monkey and a frog
103,0103_a_monkey_and_a_frog,vqa_score,0.2951568365097046,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0103_a_monkey_and_a_frog/vqa_score/prompt.txt,a monkey and a frog
104,0104_a_horse_and_a_monkey,flux1,0.30772852897644043,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/flux1/prompt.txt,a horse and a monkey
104,0104_a_horse_and_a_monkey,vanilla_sd,0.21339020133018494,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/vanilla_sd/prompt.txt,a horse and a monkey
104,0104_a_horse_and_a_monkey,vqa_score,0.2154356986284256,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0104_a_horse_and_a_monkey/vqa_score/prompt.txt,a horse and a monkey
105,0105_a_bird_and_a_turtle,flux1,0.2880226969718933,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/flux1/prompt.txt,a bird and a turtle
105,0105_a_bird_and_a_turtle,vanilla_sd,0.2478308081626892,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/vanilla_sd/prompt.txt,a bird and a turtle
105,0105_a_bird_and_a_turtle,vqa_score,0.26060277223587036,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0105_a_bird_and_a_turtle/vqa_score/prompt.txt,a bird and a turtle
106,0106_a_bird_and_a_lion,flux1,0.3049638271331787,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/flux1/prompt.txt,a bird and a lion
106,0106_a_bird_and_a_lion,vanilla_sd,0.22008249163627625,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/vanilla_sd/prompt.txt,a bird and a lion
106,0106_a_bird_and_a_lion,vqa_score,0.17576667666435242,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0106_a_bird_and_a_lion/vqa_score/prompt.txt,a bird and a lion
107,0107_a_lion_and_a_monkey,flux1,0.2830645740032196,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/flux1/prompt.txt,a lion and a monkey
107,0107_a_lion_and_a_monkey,vanilla_sd,0.1720045804977417,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/vanilla_sd/prompt.txt,a lion and a monkey
107,0107_a_lion_and_a_monkey,vqa_score,0.24780020117759705,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0107_a_lion_and_a_monkey/vqa_score/prompt.txt,a lion and a monkey
108,0108_a_horse_and_a_turtle,flux1,0.3198124170303345,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/flux1/prompt.txt,a horse and a turtle
108,0108_a_horse_and_a_turtle,vanilla_sd,0.21904826164245605,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/vanilla_sd/prompt.txt,a horse and a turtle
108,0108_a_horse_and_a_turtle,vqa_score,0.20515091717243195,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0108_a_horse_and_a_turtle/vqa_score/prompt.txt,a horse and a turtle
109,0109_a_bird_and_a_monkey,flux1,0.2831037640571594,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/flux1/prompt.txt,a bird and a monkey
109,0109_a_bird_and_a_monkey,vanilla_sd,0.22011110186576843,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/vanilla_sd/prompt.txt,a bird and a monkey
109,0109_a_bird_and_a_monkey,vqa_score,0.2185564488172531,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0109_a_bird_and_a_monkey/vqa_score/prompt.txt,a bird and a monkey
110,0110_a_bear_and_a_frog,flux1,0.2731321156024933,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/flux1/prompt.txt,a bear and a frog
110,0110_a_bear_and_a_frog,vanilla_sd,0.2699100077152252,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/vanilla_sd/prompt.txt,a bear and a frog
110,0110_a_bear_and_a_frog,vqa_score,0.25712350010871887,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0110_a_bear_and_a_frog/vqa_score/prompt.txt,a bear and a frog
111,0111_a_bear_and_a_turtle,flux1,0.29392391443252563,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/flux1/prompt.txt,a bear and a turtle
111,0111_a_bear_and_a_turtle,vanilla_sd,0.2866082787513733,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/vanilla_sd/prompt.txt,a bear and a turtle
111,0111_a_bear_and_a_turtle,vqa_score,0.2836697995662689,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0111_a_bear_and_a_turtle/vqa_score/prompt.txt,a bear and a turtle
112,0112_a_dog_and_an_elephant,flux1,0.29960137605667114,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/flux1/prompt.txt,a dog and an elephant
112,0112_a_dog_and_an_elephant,vanilla_sd,0.2118397355079651,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/vanilla_sd/prompt.txt,a dog and an elephant
112,0112_a_dog_and_an_elephant,vqa_score,0.22612568736076355,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0112_a_dog_and_an_elephant/vqa_score/prompt.txt,a dog and an elephant
113,0113_a_dog_and_a_horse,flux1,0.26897892355918884,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/flux1/prompt.txt,a dog and a horse
113,0113_a_dog_and_a_horse,vanilla_sd,0.2372673600912094,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/vanilla_sd/prompt.txt,a dog and a horse
113,0113_a_dog_and_a_horse,vqa_score,0.24441727995872498,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/vqa_score/img.png,vlm_guidance_project_multi_pipeline_optim/subset/0113_a_dog_and_a_horse/vqa_score/prompt.txt,a dog and a horse
114,0114_a_turtle_and_a_mouse,flux1,0.3102165162563324,vlm_guidance_project_multi_pipeline_optim/subset/0114_a_turtle_and_a_mouse/flux1/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0114_a_turtle_and_a_mouse/flux1/prompt.txt,a turtle and a mouse
114,0114_a_turtle_and_a_mouse,vanilla_sd,0.31018438935279846,vlm_guidance_project_multi_pipeline_optim/subset/0114_a_turtle_and_a_mouse/vanilla_sd/img_00.png,vlm_guidance_project_multi_pipeline_optim/subset/0114_a_turtle_and_a_mouse/vanilla_sd/prompt.txt,a turtle and a mouse
